1971	4
1972	8
1973	9
1974	12
1975	14
1976	9
1977	15
1978	22
1979	21
1980	19
1981	24
1982	25
1983	27
1984	26
1985	25
1986	25
1987	24
1988	27
1989	19
1990	27
1991	28
1992	28
1993	37
1994	38
1995	34.7
1996	34.3
1997	31.0
1998	38.2
1999	37.1
2000	34.2
2001	32.3
2002	27.6
2003	27.8
2004	29.2
2005	27.9
2006	30.6
2007	30.6
2008	29.6
2009	27.9
